Make,Model,Meter,ServiceOrderID,Wo Number,Wo Segment,Description,Contract Type,M_Actual_ServiceOrderLaborHrsTotal,Wo Status
JD,470P,1575,S100052162430162002,5216243,2,500 HOUR SERVICE,C&F,3.75,I
JD,470P,1585,S100052161780162002,5216178,2,500 HOUR SERVICE,C&F,1.75,I
JD,470P,1629,S100033720760148001,3372076,1,500 HOUR SERVICE,C&F,3.25,I
JD,470P,1635,S100033774670148001,3377467,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,1855,S100033719150148001,3371915,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,2000,S100033773900148001,3377390,1,500 HOUR SERVICE,C&F,4.50,I
JD,470P,2117,S100033719520148001,3371952,1,500 HOUR SERVICE,C&F,3.75,I
JD,470P,2471,S101615006780161002,161500678,2,500 HOUR SERVICE,C&F,4.25,I
JD,470P,2513,S101785000840178002,178500084,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,2529,S101785002530178002,178500253,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,2569,S100033774200148001,3377420,1,500 HOUR SERVICE,C&F,4.25,I
JD,470P,2617,S100033720020148001,3372002,1,500 HOUR SERVICE,C&F,3.00,I
JD,470P,2636,S101595003800159002,159500380,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,2645,S100033776010148001,3377601,1,500 HOUR SERVICE,C&F,4.50,I
JD,470P,2800,S100033776000148001,3377600,1,500 HOUR SERVICE,C&F,6.50,I
JD,470P,2963,S101785002520178002,178500252,2,500 HOUR SERVICE,C&F,3.00,I
JD,470P,3483,S101785002540178002,178500254,2,500 HOUR SERVICE,C&F,4.00,I
JD,470P,3486,S100033721290148001,3372129,1,500 HOUR SERVICE,C&F,2.75,I
JD,470P,3586,S101535009260153003,153500926,3,500 HOUR SERVICE,C&F,4.50,I
JD,470P,3620,S100033774630148001,3377463,1,500 HOUR SERVICE,C&F,3.75,I
JD,470P,4475,S100033775000148001,3377500,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,4539,S100033772480148001,3377248,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,4650,S100035301400142001,3530140,1,500 HOUR SERVICE,C&F,3.75,I
JD,470P,6513,S100017014020107001,1701402,1,500 HOUR SERVICE,C&F,4.00,I
JD,470P,8787,S100033776730148001,3377673,1,500 HOUR SERVICE,C&F,5.00,I
JD,470P,9668,S100033777130148001,3377713,1,500 HOUR SERVICE,C&F,4.75,I
JD,470P,447,S100019469430109001,1946943,1,500 HOUR SERVICE PER PM AGREEMENT,C&F,5.00,I
JD,470P,471,S100043189910153001,4318991,1,500 HR PM,C&F,4.50,I
JD,470P,615,S100048118780158002,4811878,2,500 HR PM SERVICE AM,C&F,4.25,I
JD,470P,465,S100033716760148001,3371676,1,500 HR SERVICE,C&F,2.25,I
JD,470P,485,S100047100550157002,4710055,2,500 HR SERVICE,C&F,4.00,I
JD,470P,955,S100019464800109001,1946480,1,500 HR SERVICE,C&F,6.75,I
JD,470P,1600,S100029269330119002,2926933,2,500 HR SERVICE,C&F,4.50,I
JD,470P,533,S100019487870109001,1948787,1,500 HRS PM SERVICE,C&F,3.00,I
JD,470P,1809,S100033770840148001,3377084,1,500 PM SERVICE,C&F,5.50,I
JD,470P,590,S101015014110101001,101501411,1,500H SERVICE,C&F,15.00,I
JD,470P,515,S100033951310148001,3395131,1,500HR,C&F,4.00,I
JD,470P,425,S100043262470153001,4326247,1,500HR PM SERVICE,C&F,2.75,I
JD,470P,503,S100043257760153001,4325776,1,500HR PM SERVICE,C&F,4.00,I
JD,470P,515,S100043276050153001,4327605,1,500HR PM SERVICE,C&F,2.50,I
JD,470P,758,S100033717470148001,3371747,1,500HR PM SERVICE,C&F,3.25,I
JD,470P,1480,S100043253450153001,4325345,1,500HR PM SERVICE,C&F,5.00,I
JD,470P,425,S100043262470153002,4326247,2,500HR PM TRAVEL,C&F,3.50,I
JD,470P,503,S100043257760153002,4325776,2,500HR PM TRAVEL,C&F,2.00,I
JD,470P,515,S100043276050153002,4327605,2,500HR PM TRAVEL,C&F,0.50,I
JD,470P,1480,S100043253450153002,4325345,2,500HR PM TRAVEL,C&F,1.50,I
JD,470P,428,S100068026320178006,6802632,6,500HR SERVICE,C&F,3.75,I
JD,470P,476,S100030256080120002,3025608,2,500HR SERVICE,C&F,3.00,I
JD,470P,2517,S101095015260109003,109501526,3,500HR SERVICE,C&F,3.00,I
JD,470P,2983,S100014357210104001,1435721,1,500HR SERVICE,C&F,11.25,I
JD,470P,456,S100018532000108003,1853200,3,500HR SERVICE (SN F_00001-) NO FILTERS NO VALVE SET,C&F,7.50,I
JD,470P,779,S100033770600148001,3377060,1,500HR SERVICE (SN F_00001-) NO FILTERS NO VALVE SET,C&F,4.75,I
JD,470P,1507,S100033717870148001,3371787,1,500HR SERVICE (SN F_00001-) NO FILTERS NO VALVE SET,C&F,4.00,I
JD,470P,3400,S100033771890148001,3377189,1,500HR SERVICE (SN F_00001-) NO FILTERS NO VALVE SET,C&F,4.25,I
JD,470P,673,S100017960680107001,1796068,1,500HR SERVICE AS PER PM AGREEMENT,C&F,2.25,I
JD,470P,1487,S100049087370159002,4908737,2,500HR SERVICE DUE @ 1500HRS,C&F,6.00,I
JD,470P,4495,S100045121640155002,4512164,2,500HR SERVIVCE 145 LANGTON ST PETERBOROUGH,C&F,2.50,I
JD,470P,5917,S100017002640107001,1700264,1,6000 HOUR SERVICE,C&F,9.00,I
